type,n,msecs,kbytes
rects,50000,2710,7108.42
rects,50000,3915,7108.42
rects,50000,3479,7108.42
rects,50000,3177,7108.42
rects,50000,2548,7108.42
rects,50000,2533,7108.42
rects,50000,2596,7108.42
rects,50000,2543,7108.42
rects,50000,3883,7108.42
rects,100000,4646,13872.782
rects,100000,6600,13872.782
rects,100000,6314,13872.782
rects,100000,5184,13872.782
rects,100000,4970,13872.782
rects,100000,6670,13872.782
rects,100000,4996,13872.782
rects,100000,5003,13872.782
rects,100000,4977,13872.782
rects,100000,4955,13872.782
rects,500000,12622,64544.721
rects,500000,30291,64544.721
rects,500000,26559,64544.721
rects,500000,26485,64544.721
rects,500000,28097,64544.721
rects,500000,26664,64544.721
rects,500000,27940,64544.721
rects,500000,26589,64544.721
rects,500000,25694,64544.721
rects,500000,22869,64544.721
shapes,100,158,1172.201
shapes,100,139,1172.201
shapes,100,178,1172.201
shapes,100,172,1172.201
shapes,100,125,1172.201
shapes,100,102,1172.201
shapes,100,106,1172.201
shapes,100,113,1172.201
shapes,100,97,1172.201
shapes,100,71,1172.201
shapes,500,179,1505.853
shapes,500,283,1505.853
shapes,500,372,1505.853
shapes,500,251,1505.853
shapes,500,169,1505.853
shapes,500,201,1505.853
shapes,500,184,1505.853
shapes,500,153,1505.853
shapes,500,174,1505.853
shapes,500,162,1505.853
shapes,1000,180,1607.386
shapes,1000,255,1607.386
shapes,1000,271,1607.386
shapes,1000,160,1607.386
shapes,1000,179,1607.386
shapes,1000,125,1607.386
shapes,1000,135,1607.386
shapes,1000,144,1607.386
shapes,1000,150,1607.386
shapes,1000,154,1607.386
shapes,5000,523,3125.189
shapes,5000,931,3125.189
shapes,5000,785,3125.189
shapes,5000,930,3125.189
shapes,5000,805,3125.189
shapes,5000,735,3125.189
shapes,5000,708,3125.189
shapes,5000,599,3125.189
shapes,5000,421,3125.189
shapes,5000,436,3125.189
shapes,10000,612,2262.709
shapes,10000,928,2262.709
shapes,10000,893,2262.709
shapes,10000,1278,2262.709
shapes,10000,1366,2262.709
shapes,10000,1213,2262.709
shapes,10000,961,2262.709
shapes,10000,799,2262.709
shapes,10000,823,2262.709
shapes,10000,874,2262.709
shapes,50000,3067,6320.069
shapes,50000,5868,6320.069
shapes,50000,4971,6320.069
shapes,50000,3880,6320.069
shapes,50000,3901,6320.069
shapes,50000,5428,6320.069
shapes,50000,5288,6320.069
shapes,50000,6750,6320.069
shapes,50000,3897,6320.069
shapes,50000,3929,6320.069
shapes,100000,3387,11630.914
shapes,100000,11319,11630.914
shapes,100000,8409,11630.914
shapes,100000,12302,11630.914
shapes,100000,8601,11630.914
shapes,100000,8384,11630.914
shapes,100000,9901,11630.914
shapes,100000,9961,11630.914
shapes,100000,8371,11630.914
shapes,100000,11191,11630.914
shapes,500000,21453,54202.161
shapes,500000,49822,54202.161
shapes,500000,47348,54202.161
shapes,500000,47411,54202.161
shapes,500000,47418,54202.161
shapes,500000,49782,54202.161
shapes,500000,51478,54202.161
shapes,500000,50134,54202.161
shapes,500000,49020,54202.161
shapes,500000,48329,54202.161
texts,100,314,1159.16
texts,100,419,1159.16
texts,100,207,1159.16
texts,100,272,1159.16
texts,100,287,1159.16
texts,100,115,1159.16
texts,100,143,1159.16
texts,100,100,1159.16
texts,100,154,1159.16
texts,100,102,1159.16
texts,500,253,1444.684
texts,500,627,1444.684
texts,500,229,1444.684
texts,500,217,1444.684
texts,500,202,1444.684
texts,500,158,1444.684
texts,500,163,1444.684
texts,500,140,1444.684
texts,500,132,1444.684
texts,500,137,1444.684
texts,1000,359,1493.157
texts,1000,754,1493.157
texts,1000,207,1493.157
texts,1000,163,1493.157
texts,1000,131,1493.157
texts,1000,166,1493.157
texts,1000,143,1493.157
texts,1000,141,1493.157
texts,1000,162,1493.157
texts,1000,234,1493.157
texts,5000,339,3120.973
texts,5000,1593,3120.973
texts,5000,935,3120.973
texts,5000,909,3120.973
texts,5000,765,3120.973
texts,5000,843,3120.973
texts,5000,833,3120.973
texts,5000,850,3120.973
texts,5000,852,3120.973
texts,5000,446,3120.973
texts,10000,755,4769.326
texts,10000,2935,4769.326
texts,10000,1139,4769.326
texts,10000,863,4769.326
texts,10000,971,4769.326
texts,10000,1663,4769.326
texts,10000,1405,4769.326
texts,10000,1311,4769.326
texts,10000,1565,4769.326
texts,10000,1196,4769.326
texts,50000,2586,6431.562
texts,50000,4789,6431.562
texts,50000,4025,6431.562
texts,50000,3812,6431.562
texts,50000,3796,6431.562
texts,50000,3782,6431.562
texts,50000,5419,6431.562
texts,50000,3825,6431.562
texts,50000,4290,6431.562
texts,50000,5091,6431.562
texts,100000,4823,11631.788
texts,100000,10100,11631.788
texts,100000,7877,11631.788
texts,100000,11545,11631.788
texts,100000,8799,11631.788
texts,100000,7765,11631.788
texts,100000,7783,11631.788
texts,100000,9385,11631.788
texts,100000,9319,11631.788
texts,100000,9402,11631.788
texts,500000,21404,54341.472
texts,500000,47149,54341.472
texts,500000,39586,54341.472
texts,500000,41084,54341.472
texts,500000,41370,54341.472
texts,500000,39780,54341.472
texts,500000,44490,54341.472
texts,500000,39711,54341.472
texts,500000,41339,54341.472
texts,500000,41405,54341.472
