type,n,msecs,kbytes
shapes,5000,110,372.734375
shapes,5000,111,372.7763671875
shapes,5000,111,372.822265625
shapes,5000,111,372.8671875
shapes,10000,200,692.404296875
shapes,10000,321,692.5126953125
shapes,10000,338,692.5595703125
shapes,10000,339,692.6064453125
shapes,10000,342,692.6533203125
shapes,10000,340,692.7001953125
shapes,10000,334,692.7470703125
shapes,10000,340,692.7939453125
shapes,10000,340,692.8408203125
shapes,10000,339,692.8876953125
shapes,50000,1212,2614.716796875
shapes,50000,1686,2614.8271484375
shapes,50000,1687,2614.8759765625
shapes,50000,1686,2614.9248046875
shapes,50000,1690,2614.9736328125
shapes,50000,1691,2615.0224609375
shapes,50000,1687,2615.0712890625
shapes,50000,1690,2615.1201171875
shapes,50000,1683,2615.1689453125
shapes,50000,1693,2615.2177734375
shapes,100000,2864,5175.248046875
shapes,100000,3375,5175.359375
shapes,100000,3378,5175.4052734375
shapes,100000,3376,5175.455078125
shapes,100000,3378,5175.50390625
shapes,100000,3376,5175.5517578125
shapes,100000,3377,5175.6015625
shapes,100000,3378,5175.6484375
shapes,100000,3374,5175.6953125
shapes,100000,3374,5175.7421875
shapes,500000,15945,20535.248046875
shapes,500000,16896,20535.361328125
shapes,500000,16898,20535.412109375
shapes,500000,16905,20535.462890625
shapes,500000,16898,20535.513671875
shapes,500000,16898,20535.564453125
shapes,500000,16897,20535.615234375
shapes,500000,16902,20535.666015625
shapes,500000,16908,20535.716796875
shapes,500000,16904,20535.767578125
texts,100,38,52.6640625
texts,100,23,52.765625
texts,100,26,52.8037109375
texts,100,26,52.845703125
texts,100,26,52.88671875
texts,100,27,52.9267578125
texts,100,27,52.96875
texts,100,26,53.005859375
texts,100,27,53.046875
texts,100,26,53.0849609375
texts,500,133,61.9609375
texts,500,126,62.0634765625
texts,500,129,62.1064453125
texts,500,129,62.1494140625
texts,500,129,62.1923828125
texts,500,130,62.2353515625
texts,500,129,62.2783203125
texts,500,130,62.3212890625
texts,500,129,62.3642578125
texts,500,129,62.4072265625
texts,1000,251,73.9609375
texts,1000,255,74.064453125
texts,1000,261,74.107421875
texts,1000,260,74.150390625
texts,1000,260,74.193359375
texts,1000,259,74.236328125
texts,1000,259,74.279296875
texts,1000,259,74.322265625
texts,1000,261,74.365234375
texts,1000,260,74.408203125
texts,5000,1238,241.9609375
texts,5000,1293,242.06640625
texts,5000,1296,242.1103515625
texts,5000,1300,242.15625
texts,5000,1298,242.197265625
texts,5000,1299,242.2421875
texts,5000,1299,242.28515625
texts,5000,1298,242.3291015625
texts,5000,1297,242.375
texts,5000,1299,242.4140625
texts,10000,2470,433.9609375
texts,10000,2600,434.0673828125
texts,10000,2598,434.1142578125
texts,10000,2599,434.1611328125
texts,10000,2599,434.2080078125
texts,10000,2601,434.2548828125
texts,10000,2599,434.3017578125
texts,10000,2600,434.3486328125
texts,10000,2599,434.3955078125
texts,10000,2599,434.4423828125
texts,50000,12007,1587.4296875
texts,50000,12985,1587.5380859375
texts,50000,12982,1587.5869140625
texts,50000,12989,1587.6357421875
